127.0.0.1 - - [20/Sep/2017:04:36:25 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:29 +0530] "GET /CabBooking/1.%20login_page.html HTTP/1.1" 200 4741
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:30 +0530] "GET /CabBooking/1.%20zlogin_style.css HTTP/1.1" 200 5305
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:30 +0530] "GET /CabBooking/1.%20zanimate.css HTTP/1.1" 200 76094
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:30 +0530] "GET /CabBooking/1.%20zlogin.jpg HTTP/1.1" 200 325731
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:50 +0530] "GET /CabBooking/1.%20login_page.html HTTP/1.1" 200 4741
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:50 +0530] "GET /CabBooking/1.%20zlogin_style.css HTTP/1.1" 200 5305
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:50 +0530] "GET /CabBooking/1.%20zanimate.css HTTP/1.1" 200 76094
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:50 +0530] "GET /CabBooking/1.%20zlogin.jpg HTTP/1.1" 200 325731
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:57 +0530] "POST /CabBooking/checkLogin HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:57 +0530] "GET /CabBooking/bootstrap/css/bootstrap.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:36:57 +0530] "GET /CabBooking/2.%20zsyle42.css HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:37:36 +0530] "POST /CabBooking/checkLogin HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:37:36 +0530] "GET /CabBooking/bootstrap/css/bootstrap.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:37:41 +0530] "POST /CabBooking/checkLogin HTTP/1.1" 412 1005
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:38:06 +0530] "POST /CabBooking/checkLogin HTTP/1.1" 200 4803
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:38:31 +0530] "POST /CabBooking/checkLogin HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:38:31 +0530] "GET /CabBooking/2.%20zsyle42.css HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:38:31 +0530] "GET /CabBooking/bootstrap/css/bootstrap.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:40:27 +0530] "GET /CabBooking/2.%20booking_page.html HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:40:27 +0530] "GET /CabBooking/bootstrap/css/bootstrap.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [20/Sep/2017:04:41:29 +0530] "GET /CabBooking/bootstrap/css/bootstrap.css HTTP/1.1" 404 1070
